,F1_name,F1_value,F2_name,F2_value,F3_name,F3_value,F4_name,F4_value,F5_name,F5_value,label,code,date,title,url
0,탈산,9.28632789695242,스프,9.28632789695242,여수,7.937525763511747,원인,6.769430815686348,철수,6.647750524824822,,051910,2020.06.21,"LG화학, 여수 무스프탈산 라인 철수 검토…수익 악화가 원인",https://finance.naver.com/item/news_read.nhn?article_id=0004428103&office_id=008&code=051910&page=1&sm=
0,통폐합,9.28632789695242,PA,8.524827886533611,차원,7.0279874676307115,철수,6.647750524824822,검토,5.645729378771979,,051910,2020.06.21,"LG화학, PA 사업 철수 검토…""생산라인 통폐합 차원""",https://finance.naver.com/item/news_read.nhn?article_id=0004702667&office_id=277&code=051910&page=1&sm=
0,변혁,8.80587488303422,찜,7.364515841279615,온다,7.3224940555950395,"""···",6.783430326569674,기,6.302977312651472,,051910,2020.06.21,"[이번주 추천주] ""전기차 변혁기 온다""···삼성SDI·LG화학 '찜'",https://finance.naver.com/item/news_read.nhn?article_id=0003756513&office_id=011&code=051910&page=1&sm=
0,뭉쳐,9.28632789695242,똘똘,7.844968855197816,하기,7.457072749593546,구,7.209844517826036,韓,6.1298209689224175,,051910,2020.06.21,韓기업 똘똘 뭉쳐 'LG화학 구하기',https://finance.naver.com/item/news_read.nhn?article_id=0004702582&office_id=277&code=051910&page=1&sm=
0,컴투스,8.80587488303422,유안,7.40925053524363,타,7.282874862196601,추천,5.878541715899957,주간,5.596698537820178,,051910,2020.06.20,[유안타증권 주간추천주]코로나19에도 실적 개선…카카오·LG화학·컴투스,https://finance.naver.com/item/news_read.nhn?article_id=0004668855&office_id=018&code=051910&page=1&sm=
0,48만,9.28632789695242,2260,9.28632789695242,17만,9.28632789695242,최근,6.632515907600914,개인,6.087370122759543,,051910,2020.06.19,"LG화학, 최근 5일 개인 17만 2260주 순매도... 주가 48만 ...",https://finance.naver.com/item/news_read.nhn?article_id=0004701889&office_id=277&code=051910&page=1&sm=
0,1386억원,9.28632789695242,모티브,8.17075054566244,수주,5.812435394223963,오토,4.587632257499609,부품,4.559809906654341,,051910,2020.06.19,"삼기오토모티브, LG화학에 전기차 부품 1386억원 규모 수주",https://finance.naver.com/item/news_read.nhn?article_id=0004701732&office_id=277&code=051910&page=1&sm=
0,차전지,5.95077587869135,고,5.778280568804736,성장,5.008185178599291,매출,4.969620708363864,증권,4.915031141971444,,051910,2020.06.19,"LG화학, 2차전지 매출 고성장...목표가↑-현대차증권",https://finance.naver.com/item/news_read.nhn?article_id=0004446151&office_id=014&code=051910&page=1&sm=
0,1.85%,8.325421869116017,랭킹,7.0834688447790075,상위,6.534331251073818,검색,6.223420988314413,주가,4.097809740149685,,207940,2020.06.19,"삼성바이오로직스, 검색 상위 랭킹... 주가 -1.85%",https://finance.naver.com/item/news_read.nhn?article_id=0004702036&office_id=277&code=207940&page=1&sm=
0,도달,7.364515841279615,상한,6.712275889110161,배열,5.777204423492995,정,5.60349415284536,상승세,5.586628425876106,,005390,2020.06.19,"'신성통상' 상한가↑ 도달, 단기·중기 이평선 정배열로 상승세",https://finance.naver.com/item/news_read.nhn?article_id=0004363937&office_id=015&code=005390&page=1&sm=
