gabbybarrett,ihope," I, I hope she makes you smile The way you made me smile On the other end of a phone In the middle of the highway driving alone  Oh, baby, I, I hope you hear a song That makes you sing along And gets you thinking about her Then the last several miles turns into a blur Yeah  I hope you both feel the sparks by the end of the drive I hope you know she's the one by the end of the night I hope you never ever felt more free Tell your friends that you're so happy  I hope she comes along and wrecks every one of your plans I hope you spend your last dime to put a rock on her hand I hope she's wilder than your wildest dreams She's everything you're ever gonna need  And then I hope she cheats Like you did on me And then I hope she cheats Like you did on me  Yeah, babe, I hope she shows up in a 2-AM pic from her friend Hanging on to a guy, and you just ain't him I hope you stay up all night all alone waiting by the phone And then she calls  And, baby, I, I hope you work it out Forgive and just about Forget and take her on a first date again And when you lean in for a kiss  I hope you both feel the sparks by the end of the drive I hope you know she's the one by the end of the night I hope you never ever felt more free Tell your friends that you're so happy  I hope she comes along and wrecks every one of your plans I hope you spend your last dime to put a rock on her hand I hope she's wilder than your wildest dreams She's everything you're ever gonna need  And then I hope she cheats Like you did on me And then I hope she cheats Like you did on me  I hope what goes, comes all the way around I hope she makes you feel the same way about her that I feel about you right now  I hope you both feel the sparks by the end of the drive I hope you know she's the one by the end of the night I hope you never ever felt more free Tell your friends that you're so happy  I hope she comes along and wrecks every one of your plans I hope you spend your last dime to put a rock on her hand I hope she's wilder than your wildest dreams She's everything you're ever gonna need  And then I hope she cheats Like you did on me And then I hope she cheats Like you did on me  Like you did on me"
lilmosey,blueberryfaygo," Damn, Callan Damn, Callan  One bad bitch and she do what I say so (One, gang) Two big .40s and a big ass Draco (Two, boom, boom) Three more millions when you ask how my day go (Three) Poured up a 4, now that's blueberry Faygo One false move, and we straight to shooting shit Two small bands just to take you out real quick (Bands) Three more hoes pull up, I'm fucking shit (Three more, gang) That's how it go, big bands, I'm thumbin' shit (That's how it goes)  Aye, one bad bitch and she do what I say so (Yeah, gang) Two big .40s and a big ass Draco (Two) Three more millions when you ask how my day go Poured up a 4 now that's blueberry Faygo One false move, and we straight to shooting shit Two small bands just to take you out real quick (Bands) Three more hoes pull up, I'm fucking shit (Three, yeah) That's how it go, big bands, I'm thumbin' shit (Gang)  I'm with my niggas yeah, we some rockstars And I'm with my nigga yeah, KK Wockhardt (KK Wockhardt) This not my dick, lil' bitch, my Glock hard (Lil' bitch) Straight to the cash, I'm a trapstar (Cash) Straight to the bag, I'm that nigga, huh (Bag, oh) Got me some gas, rollin' up some Pfft, pfft, cash, yeah, I got me some I ain't fucked since yesterday (Yeah) I'ma fuck some  One bad bitch and she do what I say so (One, gang) Two big .40s and a big ass Draco (Two, boom, boom) Three more millions when you ask how my day go (Three) Poured up a 4, now that's blueberry Faygo One false move and we straight to shooting shit Two small bands just to take you out real quick (Bands) Three more hoes pull up, I'm fucking shit (Three more, gang) That's how it go, big bands, I'm thumbin' shit (That's how it goes)  3, 0 clip in my Nina On my toes Gucci Valentino She on go yo bitch for the team, uh 'Cause you know yo bitch want a winner I just went back to my city And you know they all fuckin wit me But it ain't safe, poles wit me I'ma chase bands till they end me  One bad bitch and she do what I say so (One, gang) Two big .40s and a big ass Draco (Two, boom, boom) Three more millions when you ask how my day go (Three) Poured up a 4, now that's blueberry Faygo One false move and we straight to shooting shit Two small bands just to take you out real quick (Bands) Three more hoes pull up, I'm fucking shit (Three more, gang) That's how it go, big bands, I'm thumbin' shit (That's how it goes)  Aye, one bad bitch, and she do what I say so (Yeah, gang) Two big .40s and a big ass Draco (Two) Three more millions when you ask how my day go Poured up a 4, now that's blueberry Faygo One false move and we straight to shooting shit Two small bands just to take you out real quick (Bands) Three more hoes pull up, I'm fucking shit (Three, yeah) That's how it go, big bands, I'm thumbin' shit (Gang)"
maroon5,memories," Here's to the ones that we got Cheers to the wish you were here but you're not 'Cause the drinks bring back all the memories Of everything we've been through Toast to the ones here today Toast to the ones that we lost on the way 'Cause the drinks bring back all the memories And the memories bring back, memories bring back you  There's a time that I remember When I did not know no pain When I believed in forever And everything would stay the same Now my heart feel like December When somebody say your name 'Cause I can't reach out to call you But I know I will one day, yeah  Everybody hurts sometimes Everybody hurts someday, ay ay But everything gon' be alright Go on raise a glass and say, ay  Here's to the ones that we got Cheers to the wish you were here but you're not 'Cause the drinks bring back all the memories Of everything we've been through Toast to the ones here today Toast to the ones that we lost on the way 'Cause the drinks bring back all the memories And the memories bring back, memories bring back you  Doo-doo, doo-doo-doo-doo Doo-doo-doo-doo, doo-doo-doo-doo Doo-doo-doo-doo, doo-doo-doo Memories bring back, memories bring back you  There's a time that I remember When I never felt so lost When I felt all of the hatred Was too powerful to stop (ooh, yeah) Now my heart feel like an ember And it's lighting up the dark I'll carry these torches for ya That you know I'll never drop, yeah  Everybody hurts sometimes Everybody hurts someday, ay ay But everything gon' be alright Go on raise a glass and say, ay  Here's to the ones that we got (oh, oh) Cheers to the wish you were here but you're not 'Cause the drinks bring back all the memories Of everything we've been through (no, no) Toast to the ones here today (ay) Toast to the ones that we lost on the way 'Cause the drinks bring back all the memories (ay) And the memories bring back, memories bring back you  Doo-doo, doo-doo-doo-doo Doo-doo-doo-doo, doo-doo-doo-doo Doo-doo-doo-doo, doo-doo-doo Memories bring back, memories bring back you  Doo-doo, doo-doo-doo-doo Doo-doo-doo-doo, doo-doo-doo-doo Doo-doo-doo-doo, doo-doo-doo (ooh, yeah) Memories bring back, memories bring back you  Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, no, no Memories bring back, memories bring back you"
morganwallen,chasinyou," We used to chase that Chattanooga freight Couple of kids in a Chevrolet Catch a little air when we cross the tracks Sipping on something from a paper sack You hang your shirt on that maple limb Slipping through the moon to the river bend Wasn't very long til I was jumping in, jumping in I guess I'm still doing now what I was doing then  Chasing you like a shot of whiskey Burning going down, burning going down Chasing you like those goodbye taillights Heading west to anywhere out of this no where town Chasing that freedom, chasing that feeling that got gone too soon Chasing that you and me, I only see in my rear view Yeah I'm laying here tonight holding someone new Still chasing you, still chasing you  You always used to talk about LA I heard you got as far as Santa Fe Oh wait, you know I tried to track you down I only got as far as Guitar Town Singing about a girl I used to know, used to know Well you should know that I haven't given up I'm just on your radio  Chasing you like a shot of whiskey Burning going down, burning going down Chasing you like those goodbye taillights Heading west to anywhere out of this no where town Chasing that freedom, chasing that feeling that got gone too soon Chasing that you and me, I only see in my rear view Yeah I'm laying here tonight holding someone new Still chasing you, still chasing you  Chasing you like a shot of whiskey Burning going down, burning going down Chasing you like those good bye taillights Heading west to anywhere out of this no where town Chasing that freedom, chasing that feeling that got gone too soon Chasing that you and me, I only see in my rear view Yeah I'm laying here tonight holding someone new Still chasing you, still chasing you  Still chasing you, still chasing you"
trevordaniel,falling," My last made me feel like I would never try again But when I saw you, I felt something I never felt Come closer, I'll give you all my love If you treat me right, baby, I'll give you everything My last made me feel like I would never try again But when I saw you, I felt something I never felt Come closer, I'll give you all my love If you treat me right, baby, I'll give you everything  Talk to me, I need to hear you need me like I need ya Fall for me, I wanna know you feel how I feel for you, love Before you, baby, I was numb, drown the pain by pouring up Speeding fast on the run, never want to get caught up Now you the one that I'm calling Swore that I'd never forget, don't think I'm just talking I think I might go all in, no exceptions, girl, I need ya  Feeling like I'm out of my mind, cause I can't get enough Only one that I give my time, 'cause I got eyes for ya Might make an exception for ya, 'cause I been feeling ya Think I might be out of my mind, I think that you're the one  My last made me feel like I would never try again But when I saw you, I felt something I never felt Come closer, I'll give you all my love If you treat me right, baby, I'll give you everything My last made me feel like I would never try again But when I saw you, I felt something I never felt Come closer, I'll give you all my love If you treat me right, baby, I'll give you everything  I'll never give my all again 'Cause I'm sick of falling down When I open up and give my trust They find a way to break it down Tear me up inside, and you break me down"
blackbear,hotgirlbummer," 'Fuck you and you, and you I hate your friends and they hate me too I\'m through, I\'m through, I\'m through This that hot girl bummer anthem Turn it up and throw a tantrum  This that hot girl bummer anthem Turn it up and throw a tantrum This that throw up in your Birkin bag Hook up with someone random This that social awkward suicide That buy your lips and buy your likes I swear she had a man, but shit Hit different when it\'s Thursday night  That college dropout music every day Leg day she be too thick And my friends are all annoying But we go dumb, yeah, we go stupid This that 10K on the table Just so we can be secluded And the vodka came diluted One more line, I\'m superhuman  Fuck you and you, and you I hate your friends and they hate me too I\'m through, I\'m through, I\'m through This that hot girl bummer anthem Turn it up and throw a tantrum  Fuck you and you, and you I hate your friends and they hate me too Fuck you and you, and you This that hot girl bummer anthem Turn it up and throw a tantrum  This that hot girl bummer 2-step They can\'t box me in, I\'m too left This that drip that\'s more like oceans They can\'t fit me in a Trojan Out of pocket, but I\'m always in my bag Yeah, that\'s the slogan This that, Who\'s all there? I\'m pullin\' up With a emo chick that\'s broken  This that college dropout music every day Leg day she be too thick And my friends are all annoying But we go dumb, yeah, we go stupid This that 10K on the table Just so we can be secluded And the vodka came diluted One more line, I\'m superhuman  Fuck you and you, and you I hate your friends and they hate me too I\'m through, I\'m through, I\'m through This that hot girl bummer anthem Turn it up and throw a tantrum  Fuck you and you, and you I hate your friends and they hate me too Fuck you and you, and you This that hot girl bummer anthem Turn it up and throw a tantrum  This that college dropout music every day Leg day she be too thick And my friends are all annoying But we go dumb, yeah, we go stupid This that college dropout music every day Leg day she be too thick And my friends are all annoying But we go dumb, yeah, we go stupid We go stupid, we go stupid We go (And you want me to change? Fuck you!)  Fuck you and you, and you I hate your friends and they hate me too I\'m through, I\'m through, I\'m through This that hot girl bummer anthem Turn it up and throw a tantrum  Fuck you and you, and you I hate your friends and they hate me too Fuck you and you, and you This that hot girl bummer anthem Turn it up and throw a tantrum'"
surfaces,sundaybest," <i>Forrest:</i> Feeling good, like I should Went and took a walk around the neighborhood Feeling blessed, never stressed Got that sunshine on my sunday best  Everyday can be a better day despite the challenge All you gotta do is leave it better than you found it It's gonna get difficult to stand but hold your balance I just say whatever cause there is no way around it cause  Everyone falls down sometimes But you just gotta know it'll all be fine It's ok, uh-huh It's ok, it's ok  Feeling good, like I should Went and took a walk around the neighborhood Feeling blessed, never stressed Got that sunshine on my sunday best  Somedays you wake up and nothing works you feel surrounded Gotta give your feet some gravity to get you grounded Keep good things inside your ears just like the waves and sound did And just say whatever cause there is no way around it  Everyone falls down sometimes But you just gotta know it'll all be fine It's ok, uh-huh It's ok, it's ok  Feeling good, like I should Went and took a walk around the neighborhood Feeling blessed, never stressed Got that sunshine on my sunday best  Feeling good, like I should Went and took a walk around the neighborhood Feeling blessed, never stressed Got that sunshine on my sunday best"
rodwave,heartonice," 'SpeakerBangerz Look, uh, look  Heart been broke so many times I don\'t know what to believe (Yeah, yeah) Mama say it\'s my fault, it\'s my fault, I wear my heart on my sleeve (Yeah, yeah) Think it\'s best I put my heart on ice, heart on ice \'cause I can\'t breathe I\'ma put my heart on ice, heart on ice, it\'s gettin\' the best of me  While in the cell with Lil\' Hakeem, after I slapped him I had told him I don\'t know how you get down with them clowns, but I\'m a soldier No one could understand, I had way too much aggression (Brrt) That built over the years from my abandoned adolescence See I done been lied to, backstabbed, and heartbroken I wanted to cry but I was too afraid to open Prayin\' one day I\'d find a peace of mind by the ocean I spent all my time committing crimes to get closer While at my nana house I play the couch, starin\' at the ceiling Tryin\' not to get in my feelings Thinkin\' of a way I could make these millions Maybe that\'ll take this pain away and clear up all these rainy days, yeah  Heart been broke so many times I don\'t know what to believe (Know what to believe, yeah) Mama say it\'s my fault, it\'s my fault, I wear my heart on my sleeve (My fault, it\'s my fault) Think it\'s best I put my heart on ice, heart on ice \'cause I can\'t breathe (I can\'t breathe, I can\'t breathe) I\'ma put my heart on ice, heart on ice, it\'s gettin\' the best of me (The best of me)  Yeah, yeah Yeah, yeah Yeah, yeah, yeah Yeah, yeah Brrt'"
arizonazervas,roxanne," All for the gram Bitches love the gram Oh wait shit Brr brr Brr brr brr Skrr skrr Ninety four don't need no brakes, yeah  Roxanne Roxanne All she wanna do is party all night Goddamn, Roxanne Never gonna love me but it's alright She think I'm a asshole She think I'm a player She keep running back though Only cause I pay up Roxanne Roxanne All she wanna do is party all night  Met her at a party in the hills, yeah She just wanna do it for the thrill, yeah Shorty drive a poodle with no top But if I throw this money she gon' drop She don't wait in lines if it's too long She don't drive the whip unless the roof off Only wanna call when the cash out Only take the pic when her ass out  She from Malibu, Malibu If you ain't got a foreign, then she laugh at you Malibu, Malibu Spending daddy's money with a attitude  Roxanne Roxanne All she wanna do is party all night Goddamn, Roxanne Never gonna love me but it's alright She think I'm a asshole She think I'm a player She keep running back though Only cause I pay up Roxanne Roxanne All she wanna do is party all night  I just wanna have fun  In LA, yeah Got no brakes, yeah Living fast, Ricky Bobby Shake and bake, yeah See the chain? yeah Issa lake, yeah Swipe the chase, ooh Now she wanna date, yeah Straight to NOBU On the coast ooh Shorty only like cocaine and whole foods Yeah Snappin' all up on the gram Ass going crazy Now she wanna fuck me in the foreign Going 80  Up in Malibu, Malibu If you ain't got a foreign, then she laugh at you Malibu, Malibu Spending daddy's money with a attitude  Roxanne Roxanne All she wanna do is party all night Goddamn, Roxanne Never gonna love me but it's alright She think I'm a asshole She think I'm a player She keep running back though Only cause I pay up Roxanne Roxanne All she wanna do is party all night"
tonesandi,dancemonkey," They say, oh my god, I see the way you shine Take your hands, my dear, and place them both in mine You know you stopped me dead while I was passing by And now I beg to see you dance just one more time Ooh I see you, see you, see you every time And, oh my, I, I, I like your style You, you make me, make me, make me wanna cry And now I beg to see you dance just one more time  So they say Dance for me Dance for me Dance for me oh oh oh I've never seen anybody do the things you do before They say Move for me Move for me Move for me ay ay ay And when you're done, I'll make you do it all again  I said, oh my god, I see you walking by Take my hands, my dear, and look me in my eyes Just like a monkey I've been dancing my whole life But you just beg to see me dance just one more time Ooh I see you, see you, see you every time And, oh my, I, I, I, I like your style You, you make me, make me, make me wanna cry And now I beg to see you dance just one more time  So they say Dance for me Dance for me Dance for me oh oh oh I've never seen anybody do the things you do before They say Move for me Move for me Move for me ay ay ay And when you're done I'll make you do it all again  They say Dance for me Dance for me Dance for me oh oh oh I've never seen anybody do the things you do before They say Move for me Move for me Move for me ay ay ay And when you're done I'll make you do it all again  They say Dance for me Dance for me Dance for me oh oh oh I've never seen anybody do the things you do before They say Move for me Move for me Move for me ay ay ay And when you're done I'll make you do it all again They say Dance for me Dance for me Dance for me oh oh oh I've never seen anybody do the things you do before They say Move for me Move for me Move for me ay ay ay And when you're done I'll make you do it all again All again"
